model,stage,zero_run,restart_probability,n,se,low,high
Empirical,0,1,0.5482456140350878,228,0.03295879676031302,0.48364637238487423,0.6128448556853012
Empirical,1-4,1,0.7098214285714286,224,0.03032377132950238,0.6503868367656039,0.7692560203772533
Empirical,1-4,2,0.5067567567567568,148,0.04109599393888901,0.4262086086365343,0.5873049048769793
Empirical,1-4,3,0.37681159420289856,69,0.05833742635874388,0.26247023853976054,0.4911529498660366
Empirical,1-4,4,0.14634146341463414,41,0.05519933710725542,0.03815076268441352,0.25453216414485474
Empirical,1-4,5,0.23529411764705882,34,0.07274669910598144,0.09271058739933519,0.37787764789478245
Empirical,5-7,1,0.7449664429530202,149,0.035708687287995394,0.6749774158685492,0.8149554700374911
Empirical,5-7,2,0.5238095238095238,42,0.07706415178216067,0.37276378631648893,0.6748552613025587
Empirical,5-7,3,0.6470588235294118,17,0.1159040430757386,0.41988689910096416,0.8742307479578595
Empirical,5-7,4,0.5714285714285714,7,0.1870439059165649,0.2048225158321042,0.9380346270250386
Empirical,5-7,5,0.3333333333333333,3,0.2721655269759087,0.0,0.8667777662061142
Empirical,5-7,6,0.2786885245901639,61,0.05740583606190164,0.1661730859088367,0.3912039632714911
Empirical,8-20,1,0.6368243243243243,592,0.01976547906385361,0.5980839853591713,0.6755646632894774
Empirical,8-20,2,0.5,208,0.03466876226407682,0.4320492259624094,0.5679507740375905
Empirical,8-20,3,0.4174757281553398,103,0.048590796259488804,0.3222377674867417,0.5127136888239379
Empirical,8-20,4,0.39215686274509803,51,0.06836606453024294,0.25815937626582186,0.5261543492243742
Empirical,8-20,5,0.36666666666666664,30,0.08798147953257401,0.19422296678282158,0.5391103665505117
Empirical,8-20,6,0.168,125,0.033439617222689615,0.10245835024352837,0.23354164975647165
GRW-Y,1-4,1,0.5041322314049587,2057,0.01102397009727873,0.48252525001429236,0.525739212795625
GRW-Y,1-4,2,0.5230566534914362,759,0.018129543753021525,0.48752274773551396,0.5585905592473583
GRW-Y,1-4,3,0.509009009009009,222,0.03355235506541196,0.4432463930808016,0.5747716249372165
GRW-Y,1-4,4,0.4067796610169492,59,0.06395310363387247,0.28143157789455914,0.5321277441393393
