model,q_bin,n,q_prev_mean,delta_median,laplace_scale,gennorm_beta,gennorm_loc,gennorm_scale
Empirical,1,980,1.686958490853732,-0.03524604530321962,2.3982839406862917,1.3794428007732065,1.1454912243634345,3.400173141099603
Empirical,2,993,2.5128807944978107,-0.08593075892234125,2.856437130425799,1.372876476139393,1.0530307204671274,4.121528379191396
Empirical,3,942,3.4926689722717144,-0.11896186103259287,3.055493754352721,1.38914987025651,0.5816177853518917,4.441275168637569
Empirical,4,977,4.584841494600016,-0.16149136041654444,3.1847656171441217,1.0104498480089419,-0.1614911148806447,3.2314972424074915
Empirical,5,953,5.7528380869036635,-0.25779227676702376,3.3084987776602803,1.4090411960626898,-0.25734281946577564,4.812028223712845
Empirical,6,1020,7.177652318970462,-0.32722663429969323,3.9172628840818122,1.4112163393131578,-0.3551425793728309,5.679326363797445
Empirical,7,932,8.835432227234968,-1.6932070890921889,4.257424584325949,1.4596122799863032,-1.0113342259625522,6.321353454021191
Empirical,8,966,10.9456422396399,-2.3303722689074977,4.432755481740675,1.5580720394204308,-1.8203337855171544,6.8926776038577895
Empirical,9,958,14.291005647026187,-3.256472455905395,5.016322927530414,1.4106207851260657,-2.9784009216779097,7.265226905817151
Empirical,10,967,23.96532769284811,-5.557218590614589,6.717403096682771,1.4832038011543545,-5.2500043434121455,10.080899379837742
SE-Hurdle-S,1,11784,1.490857028329616,0.2877314017229714,1.9006249288007837,1.1491523896863063,0.3543462199809527,2.2653673585141503
SE-Hurdle-S,2,15776,2.4974689355711126,0.569363641550509,2.509476785628762,1.0737757808456188,0.5995245757218408,2.760424727885126
SE-Hurdle-S,3,20768,3.4687414902756135,0.45283415529858595,2.8952813064795073,1.0033229440890823,0.4552983432369488,2.908935111574894
SE-Hurdle-S,4,17908,4.564371658571539,0.26860445683637835,3.3151226598697736,1.0141862342092527,0.2770638475665179,3.381412794591144
SE-Hurdle-S,5,18750,5.699971886659654,-0.0979431115735232,3.646455296566576,0.9797570150292958,-0.11285677958226628,3.5400452269508476
SE-Hurdle-S,6,18402,7.106689296024478,-0.5658774648755132,4.07252240202539,1.0070075463350576,-0.5596972164356759,4.1128900768568455
SE-Hurdle-S,7,15252,8.775965075353918,-1.3409773334899744,4.544742670270365,0.9357199006430623,-1.4276167544114986,4.112348664207158
SE-Hurdle-S,8,14649,10.8677309527809,-2.2905657029261537,5.065283177777482,0.9987499953143162,-2.294742200599069,5.056266736591729
SE-Hurdle-S,9,14966,14.231737044798596,-4.127879296380627,5.906894438103492,0.9645700403878048,-4.195888992847506,5.602402357325541
SE-Hurdle-S,10,15383,25.382938930274918,-9.677666280843452,9.227360734357818,0.8981100968489737,-9.782578446288607,7.804284470435482
SE-Hurdle-T5,1,12001,1.50313932969933,0.33338559204940665,1.9399843572242597,1.1494946265969552,0.4036319574300539,2.3127393156718767
SE-Hurdle-T5,2,15766,2.498285167543282,0.5013486968000758,2.4896487670987373,1.124563971914706,0.5685013536814543,2.8963108473223698
SE-Hurdle-T5,3,20750,3.4730678238077743,0.4462296105484731,2.879792652774627,1.0520947989250464,0.480827655808989,3.0862468524953517
SE-Hurdle-T5,4,17903,4.562588945902974,0.21725590168037634,3.2464638771530328,0.9710801259624153,0.19449367504345827,3.1104259616674765
SE-Hurdle-T5,5,18706,5.697027564150421,-0.19539017356537647,3.6365692701618104,0.9786363125168787,-0.21094784232378802,3.524577258477269
SE-Hurdle-T5,6,18312,7.113734519323039,-0.6129836051543616,4.111958666526708,0.9903097606974475,-0.6265575519714666,4.054930807440275
SE-Hurdle-T5,7,15259,8.780795472015134,-1.301709105319679,4.573465006840571,0.9687316095879344,-1.3388668808542539,4.365918934345091
SE-Hurdle-T5,8,14504,10.868575921303842,-2.4313798038364656,5.091826565125504,0.9279358523091548,-2.546142369785086,4.546075145773608
SE-Hurdle-T5,9,14583,14.230179824055526,-4.048037845401645,5.8550809601908655,0.9657361743441446,-4.1278376767678715,5.56351352779757
SE-Hurdle-T5,10,15312,25.437688249015324,-9.413189663686788,9.20139487615332,0.9167070183582675,-9.51308824764924,8.053536535513107
Hurdle-AR(5)-S-P,1,20944,1.2361147665978363,0.2382754273993294,1.6931831179435062,1.0719373693330747,0.2843577823548378,1.8585203932388477
Hurdle-AR(5)-S-P,2,15392,2.478748705794594,0.3808216681240366,2.4056505782594337,1.0584701686445848,0.4162197504245032,2.598277985380326
Hurdle-AR(5)-S-P,3,19706,3.471611366976591,0.3294182544905093,2.812876614122147,0.9992842241632811,0.32710840999094803,2.810008150614399
Hurdle-AR(5)-S-P,4,16150,4.552798002365154,-0.007734235639205611,3.1967665011952993,0.9906224428544297,-0.018277070015089075,3.153889433876576
Hurdle-AR(5)-S-P,5,16854,5.69617880564235,-0.37712840338888487,3.5868047586312333,0.9760769356084353,-0.3969001376741379,3.4628732366459625
Hurdle-AR(5)-S-P,6,16428,7.109622427791805,-0.837786626911138,4.076638042333935,0.9685378097092726,-0.8742584760362324,3.8905029380174008
Hurdle-AR(5)-S-P,7,13531,8.759232781456443,-1.5882155911869615,4.446419127255391,0.9785949414093749,-1.619651457271788,4.309174228865214
Hurdle-AR(5)-S-P,8,13170,10.86185631350965,-2.71486862778137,5.080803422022608,0.9516170927931258,-2.8019297052537784,4.720507150112919
Hurdle-AR(5)-S-P,9,13286,14.201171664444638,-4.607379379981074,5.972709310919948,0.9143839079588085,-4.750640026475994,5.2055182250601355
Hurdle-AR(5)-S-P,10,13926,25.807756379305506,-9.845322950550647,9.43330504443794,0.887502461225058,-9.9376448815408,7.816283777369778
